ShotMarker Archived Data (generated Jan 28 2025)
Exported 42 strings from Jan 28 of 262 total in archive

Jan 28 2025,Ethan Blackwood F Open,8,600y,200-16X

,time,id,tags,score,x (mm),y (mm),x (inch),y (inch),x (moa),y (moa),x (mil),y (mil),v (m/s),v (fps),yaw (deg), pitch (deg),quality
,6:18:49 pm,S1,sighter,8,61,-155,2.38,-6.09,0.38,-0.97,0.11,-0.28,558,1831,-0.9,-1.7,2.5,
,6:19:30 pm,S2,sighter,10,0,-51,0,-2,0,-0.32,0,-0.09,575.6,1888,-1,-1.7,4.8,
,6:20:27 pm,S3,sighter,X,9,-7,0.36,-0.27,0.06,-0.04,0.02,-0.01,577.2,1894,-1,-1.5,3.5,
,6:21:02 pm,S4,sighter,10,-28,-65,-1.11,-2.55,-0.18,-0.41,-0.05,-0.12,581.3,1907,-1,-1.8,3.4,
,6:21:38 pm,S5,sighter,10,-6,58,-0.22,2.28,-0.04,0.36,-0.01,0.11,579.5,1901,-1.2,-1.5,6.9,
,6:22:53 pm,S6,sighter,X,12,-26,0.47,-1.03,0.08,-0.16,0.02,-0.05,579.5,1901,-1.7,-1.6,7.4,
,6:23:31 pm,S7,sighter,10,14,43,0.55,1.68,0.09,0.27,0.03,0.08,577.5,1895,-1.5,-1.5,9.1,
,6:24:01 pm,1,,10,15,-43,0.6,-1.68,0.1,-0.27,0.03,-0.08,581.9,1909,-1.1,-1.6,6.4,
,6:24:30 pm,2,,X,-16,5,-0.62,0.2,-0.1,0.03,-0.03,0.01,585,1919,-1.1,-1.7,6,
,6:24:51 pm,3,,X,26,-1,1.02,-0.04,0.16,-0.01,0.05,0,584.4,1917,-1.4,-1.7,6.9,
,6:25:15 pm,4,,X,23,-6,0.9,-0.23,0.14,-0.04,0.04,-0.01,581.7,1908,-1.4,-1.5,6.4,
,6:25:38 pm,5,,X,-1,8,-0.02,0.32,0,0.05,0,0.01,583,1913,-1.7,-1.3,4.2,
,6:26:03 pm,6,,X,26,-13,1.01,-0.53,0.16,-0.08,0.05,-0.02,585.4,1921,-1,-1.9,5,
,6:26:29 pm,7,,X,-3,-8,-0.11,-0.33,-0.02,-0.05,-0.01,-0.02,582.4,1911,-1.1,-1.8,3.9,
,6:26:54 pm,8,,10,-15,57,-0.58,2.24,-0.09,0.36,-0.03,0.1,583.8,1915,-1.5,-1.4,9.4,
,6:28:00 pm,9,,10,-34,47,-1.36,1.85,-0.22,0.3,-0.06,0.09,588.8,1932,-1.2,-1.6,6.2,
,6:28:52 pm,10,,X,-2,37,-0.08,1.47,-0.01,0.23,0,0.07,587.1,1926,-1.2,-1.6,6.9,
,6:29:14 pm,11,,X,2,20,0.08,0.78,0.01,0.12,0,0.04,582.3,1910,-1.1,-1.7,4.6,
,6:29:36 pm,12,,X,-6,12,-0.23,0.46,-0.04,0.07,-0.01,0.02,586.8,1925,-1.4,-2,7.1,
,6:29:57 pm,13,,X,6,26,0.22,1.03,0.03,0.16,0.01,0.05,584.7,1918,-1.3,-1.6,5,
,6:30:18 pm,14,,X,7,2,0.28,0.09,0.04,0.02,0.01,0,585.7,1922,-0.9,-1.6,3.2,
,6:30:36 pm,15,,X,3,-23,0.13,-0.92,0.02,-0.15,0.01,-0.04,582.6,1911,-1.2,-1.7,3.5,
,6:30:57 pm,16,,X,-6,0,-0.26,-0.02,-0.04,0,-0.01,0,582.3,1910,-1.3,-1.6,6.4,
,6:31:17 pm,17,,X,4,16,0.15,0.64,0.02,0.1,0.01,0.03,583.6,1915,-1.1,-1.5,5,
,6:31:38 pm,18,,X,-7,33,-0.28,1.28,-0.04,0.2,-0.01,0.06,584,1916,-1.4,-1.5,6.5,
,6:31:59 pm,19,,X,-16,7,-0.64,0.28,-0.1,0.04,-0.03,0.01,584.8,1919,-1,-1.8,3.7,
,6:33:11 pm,20,,10,-24,47,-0.94,1.86,-0.15,0.3,-0.04,0.09,580.7,1905,-1.1,-1.5,4.5,

,,,,avg:,-1,11,-0.04,0.44,-0.01,0.07,0,0.02,584.1,1916.2,-1.2,-1.6,5.5,
,,,,SD:,15.5,24.4,0.61,0.96,0.1,0.15,0.03,0.04,2,6.5,0.19,0.16,1.5,

Jan 28 2025,Ethan Blackwell open,18,600y,198-12X

,time,id,tags,score,x (mm),y (mm),x (inch),y (inch),x (moa),y (moa),x (mil),y (mil),v (m/s),v (fps),yaw (deg), pitch (deg),quality
,6:17:04 pm,S1,sighter,X,8,-38,0.33,-1.48,0.05,-0.24,0.02,-0.07,653.5,2144,1.7,-2,,
,6:17:38 pm,S2,sighter,9,-67,83,-2.66,3.26,-0.42,0.52,-0.12,0.15,656.2,2153,1.6,-1.9,,
,6:18:13 pm,S3,sighter,10,38,55,1.48,2.17,0.23,0.35,0.07,0.1,662.2,2173,1.4,-2.1,,
,6:18:39 pm,S4,sighter,X,21,23,0.83,0.91,0.13,0.14,0.04,0.04,656.3,2153,1.6,-1.7,,
,6:18:55 pm,S5,sighter,X,16,20,0.61,0.78,0.1,0.12,0.03,0.04,658.6,2161,1.7,-1.8,,
,6:19:17 pm,S6,sighter,10,28,-57,1.11,-2.26,0.18,-0.36,0.05,-0.1,655.6,2151,1.9,-1.9,,
,6:19:59 pm,S7,sighter,X,26,-23,1.04,-0.92,0.17,-0.15,0.05,-0.04,655.3,2150,1.7,-1.8,0.5,
,6:20:33 pm,S8,sighter,X,-6,12,-0.22,0.45,-0.04,0.07,-0.01,0.02,658.6,2161,1.6,-1.8,,
,6:21:17 pm,1,,X,17,18,0.67,0.7,0.11,0.11,0.03,0.03,658.6,2161,1.6,-1.7,,
,6:22:11 pm,2,,10,-8,63,-0.31,2.5,-0.05,0.4,-0.01,0.12,658,2159,1.5,-1.8,,
,6:22:42 pm,3,,X,25,9,0.98,0.36,0.16,0.06,0.05,0.02,656.7,2155,1.7,-1.8,2.6,
,6:23:10 pm,4,,X,0,-4,0,-0.15,0,-0.02,0,-0.01,657.9,2158,1.8,-1.9,,
,6:23:58 pm,5,,X,17,-6,0.65,-0.23,0.1,-0.04,0.03,-0.01,660.7,2168,1.5,-2,0.4,
,6:24:19 pm,6,,10,-6,-59,-0.22,-2.33,-0.04,-0.37,-0.01,-0.11,662.8,2175,1.5,-2.1,0.3,
,6:24:46 pm,7,,10,57,31,2.23,1.23,0.35,0.2,0.1,0.06,660.9,2168,1.4,-1.8,,
,6:25:12 pm,8,,X,12,2,0.47,0.06,0.07,0.01,0.02,0,654.9,2149,1.8,-1.8,2.3,
,6:25:31 pm,9,,X,-5,-18,-0.22,-0.7,-0.03,-0.11,-0.01,-0.03,656.2,2153,2.1,-1.7,3.4,
,6:25:53 pm,10,,10,48,32,1.87,1.26,0.3,0.2,0.09,0.06,658.7,2161,1.6,-1.7,,
,6:26:39 pm,11,,X,-16,26,-0.62,1.02,-0.1,0.16,-0.03,0.05,661.3,2170,1.5,-2,,
,6:27:14 pm,12,,10,43,-23,1.7,-0.89,0.27,-0.14,0.08,-0.04,660.8,2168,1.6,-1.9,0.6,
,6:27:33 pm,13,,X,15,33,0.59,1.31,0.09,0.21,0.03,0.06,655.2,2150,1.9,-1.8,2.9,
,6:27:58 pm,14,,X,5,-23,0.21,-0.89,0.03,-0.14,0.01,-0.04,658.3,2160,2.1,-2,3.9,
,6:28:17 pm,15,,X,0,-32,0.01,-1.24,0,-0.2,0,-0.06,658.6,2161,1.8,-2.2,,
,6:29:54 pm,16,,X,33,4,1.29,0.16,0.21,0.03,0.06,0.01,660.7,2168,1.5,-1.9,,
,6:30:18 pm,17,,X,27,17,1.08,0.66,0.17,0.1,0.05,0.03,659.3,2163,1.6,-1.9,,
,6:31:39 pm,18,,10,20,-57,0.79,-2.23,0.13,-0.36,0.04,-0.1,659.3,2163,1.6,-2,1.6,
,6:31:57 pm,19,,9,83,-41,3.27,-1.63,0.52,-0.26,0.15,-0.08,662.7,2174,1.3,-2,3,
,6:32:18 pm,20,,9,38,-89,1.49,-3.49,0.24,-0.56,0.07,-0.16,658.7,2161,1.6,-2.1,1.5,

