ShotMarker Archived Data (generated Jan 07 2025)
Exported 53 strings from Jan 07 of 53 total in archive

Jan 07 2025,Alex Thompson open,16,600y,200-14X

,time,id,tags,score,x (mm),y (mm),x (inch),y (inch),x (moa),y (moa),x (mil),y (mil),v (m/s),v (fps),yaw (deg), pitch (deg),quality
,6:57:23 pm,S1,sighter,10,72,10,2.85,0.39,0.45,0.06,0.13,0.02,611.1,2005,-0.6,-3.2,,
,6:57:50 pm,S2,sighter,10,22,70,0.85,2.76,0.14,0.44,0.04,0.13,620.8,2037,-0.5,-3.2,,
,6:58:02 pm,S3,sighter,10,34,38,1.33,1.49,0.21,0.24,0.06,0.07,617.4,2026,-0.4,-3.2,,
,6:58:19 pm,S4,sighter,X,-8,26,-0.33,1.02,-0.05,0.16,-0.02,0.05,622.4,2042,-0.4,-3.2,,
,6:58:36 pm,1,,X,26,-1,1.03,-0.04,0.16,-0.01,0.05,0,619.3,2032,-0.4,-3.1,,
,6:58:45 pm,2,,X,-6,-3,-0.26,-0.13,-0.04,-0.02,-0.01,-0.01,616.7,2023,-0.2,-3.3,,
,6:58:53 pm,3,,X,26,-23,1.01,-0.91,0.16,-0.14,0.05,-0.04,618.2,2028,-0.1,-3.3,,
,6:59:02 pm,4,,X,31,9,1.22,0.35,0.19,0.06,0.06,0.02,620.9,2037,-0.5,-3.1,,
,6:59:10 pm,5,,X,-22,32,-0.89,1.24,-0.14,0.2,-0.04,0.06,614,2014,0.1,-3.4,,
,6:59:17 pm,6,,X,23,-8,0.9,-0.33,0.14,-0.05,0.04,-0.02,619.2,2031,-0.3,-3.3,,
,6:59:28 pm,7,,10,34,-65,1.35,-2.57,0.22,-0.41,0.06,-0.12,613.9,2014,-0.3,-3.3,,
,6:59:38 pm,8,,X,37,-7,1.44,-0.3,0.23,-0.05,0.07,-0.01,618.8,2030,0.1,-3.4,,
,6:59:46 pm,9,,10,14,-55,0.55,-2.17,0.09,-0.35,0.03,-0.1,613.7,2013,-0.2,-3.4,,
,6:59:56 pm,10,,X,5,16,0.2,0.63,0.03,0.1,0.01,0.03,620.6,2036,0,-3.4,,
,7:00:06 pm,11,,10,-11,-74,-0.43,-2.93,-0.07,-0.47,-0.02,-0.14,621.1,2038,-0.2,-3.4,,
,7:00:16 pm,12,,10,22,-36,0.87,-1.42,0.14,-0.23,0.04,-0.07,619.1,2031,-0.3,-3.3,,
,7:00:25 pm,13,,X,-14,-36,-0.55,-1.41,-0.09,-0.22,-0.03,-0.07,622.1,2041,-0.5,-3.1,,
,7:00:35 pm,14,,10,53,-20,2.07,-0.78,0.33,-0.12,0.1,-0.04,618.8,2030,-0.6,-3.1,,
,7:00:41 pm,15,,X,-16,-23,-0.64,-0.89,-0.1,-0.14,-0.03,-0.04,619.3,2032,-0.7,-3.2,,
,7:00:50 pm,16,,X,-12,-21,-0.46,-0.81,-0.07,-0.13,-0.02,-0.04,620,2034,-0.3,-3.4,,
,7:00:56 pm,17,,10,-1,-48,-0.05,-1.91,-0.01,-0.3,0,-0.09,620.6,2036,-0.3,-3.3,,
,7:01:04 pm,18,,X,-18,0,-0.7,-0.01,-0.11,0,-0.03,0,621.5,2039,0,-3.2,,
,7:01:12 pm,19,,X,11,-2,0.43,-0.08,0.07,-0.01,0.02,0,618.5,2029,-0.2,-3.2,,
,7:01:19 pm,20,,X,20,-24,0.8,-0.96,0.13,-0.15,0.04,-0.04,613.8,2014,-0.4,-3.3,,

,,,,avg:,10,-20,0.4,-0.77,0.06,-0.12,0.02,-0.04,618.5,2029.2,-0.3,-3.3,0.2,
,,,,SD:,21.1,26.5,0.83,1.04,0.13,0.17,0.04,0.05,2.62,8.6,0.21,0.11,0.1,

Jan 07 2025,Ethan Blackwood F Open,15,600y,200-14X

,time,id,tags,score,x (mm),y (mm),x (inch),y (inch),x (moa),y (moa),x (mil),y (mil),v (m/s),v (fps),yaw (deg), pitch (deg),quality
,6:55:45 pm,S1,sighter,10,41,-62,1.59,-2.43,0.25,-0.39,0.07,-0.11,582.8,1912,2.6,-2.4,3.3,
,6:57:11 pm,S2,sighter,10,64,33,2.53,1.3,0.4,0.21,0.12,0.06,583.6,1915,2.3,-2.3,4.8,
,6:57:48 pm,1,,10,31,33,1.21,1.3,0.19,0.21,0.06,0.06,586.8,1925,2.6,-2.3,3.8,
,6:58:21 pm,2,,10,5,-61,0.2,-2.39,0.03,-0.38,0.01,-0.11,584,1916,2.7,-2.3,0.6,
,6:58:58 pm,3,,X,18,-16,0.72,-0.63,0.11,-0.1,0.03,-0.03,584.7,1918,2.8,-2.1,3.1,
,6:59:34 pm,4,,X,11,4,0.43,0.14,0.07,0.02,0.02,0.01,587,1926,2.3,-2.2,5.1,
,6:59:58 pm,5,,X,12,-32,0.45,-1.25,0.07,-0.2,0.02,-0.06,584.3,1917,2.7,-2.2,2.5,
,7:00:21 pm,6,,X,-9,1,-0.37,0.02,-0.06,0,-0.02,0,581.2,1907,2.3,-2.1,5.1,
,7:00:43 pm,7,,X,-8,6,-0.31,0.22,-0.05,0.04,-0.01,0.01,586.3,1924,2.8,-2.3,1.4,
,7:01:06 pm,8,,X,22,-20,0.88,-0.78,0.14,-0.12,0.04,-0.04,584.9,1919,2.8,-2.3,1,
,7:01:34 pm,9,,10,-57,-46,-2.25,-1.81,-0.36,-0.29,-0.1,-0.08,584.4,1917,2.9,-2.6,,
,7:01:55 pm,10,,X,6,-26,0.23,-1.04,0.04,-0.16,0.01,-0.05,587.5,1927,2.8,-2.3,2.1,
,7:02:23 pm,11,,10,5,-42,0.18,-1.65,0.03,-0.26,0.01,-0.08,584.3,1917,2.9,-2.4,0.6,
,7:02:45 pm,12,,X,-34,-4,-1.35,-0.17,-0.22,-0.03,-0.06,-0.01,584,1916,3.1,-2.2,0.3,
,7:03:09 pm,13,,X,-12,8,-0.48,0.33,-0.08,0.05,-0.02,0.02,586.1,1923,2.9,-2.3,0.8,
,7:03:34 pm,14,,X,-10,4,-0.41,0.15,-0.07,0.02,-0.02,0.01,582.2,1910,2.9,-2.2,1.6,
,7:04:01 pm,15,,X,-23,23,-0.9,0.89,-0.14,0.14,-0.04,0.04,581.5,1908,3.3,-2.3,0.9,
,7:04:21 pm,16,,X,-36,11,-1.43,0.42,-0.23,0.07,-0.07,0.02,585.2,1920,3.1,-2.4,0.5,
,7:05:03 pm,17,,10,-40,21,-1.59,0.81,-0.25,0.13,-0.07,0.04,584.2,1917,3.4,-2.3,1.2,
,7:05:31 pm,18,,10,34,-29,1.34,-1.13,0.21,-0.18,0.06,-0.05,585.6,1921,2.8,-2.4,3.4,
,7:05:55 pm,19,,X,5,-29,0.2,-1.13,0.03,-0.18,0.01,-0.05,583.9,1916,2.9,-2.4,2.8,
,7:06:16 pm,20,,X,24,-34,0.94,-1.35,0.15,-0.21,0.04,-0.06,583.5,1914,2.7,-2.3,2.2,

,,,,avg:,-3,-11,-0.12,-0.45,-0.02,-0.07,-0.01,-0.02,584.6,1917.9,2.8,-2.3,2,
,,,,SD:,24.5,24.9,0.96,0.98,0.15,0.16,0.04,0.05,1.66,5.5,0.26,0.11,1.5,

Jan 07 2025,Ethan Blackwell open,18,600y,200-13X

,time,id,tags,score,x (mm),y (mm),x (inch),y (inch),x (moa),y (moa),x (mil),y (mil),v (m/s),v (fps),yaw (deg), pitch (deg),quality
,6:50:05 pm,S1,sighter,8,37,-186,1.47,-7.34,0.23,-1.17,0.07,-0.34,673.2,2209,-1.4,-1.9,,
,6:50:35 pm,S2,sighter,9,-10,-111,-0.38,-4.37,-0.06,-0.7,-0.02,-0.2,686.9,2254,-0.9,-1.7,,
,6:51:06 pm,S3,sighter,9,1,-102,0.03,-4,0.01,-0.64,0,-0.19,684.2,2245,-0.7,-2.1,,
,6:51:37 pm,S4,sighter,9,-9,-95,-0.36,-3.72,-0.06,-0.59,-0.02,-0.17,670.5,2200,-1.2,-1.7,,
,6:52:09 pm,S5,sighter,10,2,-63,0.08,-2.49,0.01,-0.4,0,-0.12,675.2,2215,-0.8,-1.8,,
,6:53:13 pm,S6,sighter,10,-51,52,-2.03,2.06,-0.32,0.33,-0.09,0.1,686.6,2253,-1.1,-1.6,,
,6:53:59 pm,S7,sighter,9,-81,36,-3.19,1.4,-0.51,0.22,-0.15,0.06,681.2,2235,-0.7,-1.6,,
,6:54:45 pm,S8,sighter,X,25,-20,0.98,-0.78,0.16,-0.12,0.05,-0.04,678,2224,-1.4,-1.5,,
,6:55:15 pm,S9,sighter,X,16,7,0.63,0.28,0.1,0.05,0.03,0.01,687.8,2257,-1.2,-1.7,,
,6:55:47 pm,1,,10,-28,32,-1.1,1.26,-0.17,0.2,-0.05,0.06,683.7,2243,-1,-1.8,,
,6:56:14 pm,2,,X,5,33,0.19,1.31,0.03,0.21,0.01,0.06,682.5,2239,-1.2,-1.4,,
,6:56:46 pm,3,,X,1,-15,0.05,-0.61,0.01,-0.1,0,-0.03,681.3,2235,-1.2,-1.6,,
,6:56:59 pm,4,,X,-16,9,-0.65,0.37,-0.1,0.06,-0.03,0.02,682.8,2240,-1.2,-1.5,,
,6:57:24 pm,5,,X,9,13,0.37,0.5,0.06,0.08,0.02,0.02,679.9,2231,-1.1,-1.5,,
,6:57:50 pm,6,,X,32,-26,1.26,-1.03,0.2,-0.16,0.06,-0.05,681.5,2236,-1.4,-1.7,,
,6:58:07 pm,7,,10,-33,53,-1.3,2.09,-0.21,0.33,-0.06,0.1,681.9,2237,-1,-1.5,,
,6:58:29 pm,8,,X,-16,32,-0.65,1.28,-0.1,0.2,-0.03,0.06,678.9,2227,-0.9,-1.6,,
,6:58:49 pm,9,,10,42,-49,1.66,-1.94,0.26,-0.31,0.08,-0.09,673.7,2210,-1.3,-1.7,,
,6:59:06 pm,10,,X,29,25,1.15,0.99,0.18,0.16,0.05,0.05,683.5,2242,-1.7,-1.3,,
,6:59:36 pm,11,,10,42,-6,1.67,-0.23,0.27,-0.04,0.08,-0.01,684.4,2245,-2.3,-1.4,,
,7:00:57 pm,12,,X,2,-12,0.07,-0.48,0.01,-0.08,0,-0.02,680.5,2233,-1.2,-1.6,,
,7:01:16 pm,13,,X,-38,-12,-1.52,-0.48,-0.24,-0.08,-0.07,-0.02,676.4,2219,-0.8,-1.7,,
,7:01:48 pm,14,,10,56,-34,2.19,-1.33,0.35,-0.21,0.1,-0.06,679.4,2229,-1.7,-1.6,,
,7:02:53 pm,15,,10,18,-39,0.71,-1.53,0.11,-0.24,0.03,-0.07,678.1,2225,-1,-1.7,,
,7:03:24 pm,16,,X,7,13,0.28,0.52,0.04,0.08,0.01,0.02,680.5,2233,-1.4,-1.6,,
,7:03:42 pm,17,,10,-17,42,-0.67,1.66,-0.11,0.26,-0.03,0.08,678.5,2226,-0.9,-1.5,,
,7:03:59 pm,18,,X,11,-31,0.42,-1.22,0.07,-0.19,0.02,-0.06,679.5,2229,-1.3,-1.5,,
,7:04:22 pm,19,,X,17,8,0.68,0.32,0.11,0.05,0.03,0.01,680.7,2233,-1.5,-1.5,,
,7:04:44 pm,20,,X,35,-10,1.37,-0.39,0.22,-0.06,0.06,-0.02,679.3,2229,-1.4,-1.5,,

,,,,avg:,8,1,0.31,0.05,0.05,0.01,0.01,0,680.4,2232.1,-1.3,-1.6,0.3,
,,,,SD:,26.1,28.5,1.03,1.12,0.16,0.18,0.05,0.05,2.51,8.2,0.34,0.11,0.1,

Jan 07 2025,Liam Hawkins FO,13,600y,196-8X

,time,id,tags,score,x (mm),y (mm),x (inch),y (inch),x (moa),y (moa),x (mil),y (mil),v (m/s),v (fps),yaw (deg), pitch (deg),quality
,6:57:35 pm,S1,sighter,9,64,-82,2.52,-3.22,0.4,-0.51,0.12,-0.15,617.2,2025,3,-3,,
,6:58:03 pm,S2,sighter,X,33,6,1.29,0.23,0.21,0.04,0.06,0.01,626.8,2056,4.1,-2.5,,
,6:58:21 pm,1,,X,-13,-9,-0.51,-0.35,-0.08,-0.06,-0.02,-0.02,615.7,2020,2.7,-3.2,,
,6:58:41 pm,2,,10,-44,4,-1.75,0.17,-0.28,0.03,-0.08,0.01,631.7,2073,4,-2.4,,
,6:58:58 pm,3,,10,9,-71,0.33,-2.79,0.05,-0.44,0.02,-0.13,620.2,2035,3.5,-3.1,,
,6:59:17 pm,4,,X,23,-13,0.92,-0.51,0.15,-0.08,0.04,-0.02,623.2,2045,3.4,-2.8,,
,6:59:33 pm,5,,10,61,34,2.39,1.35,0.38,0.21,0.11,0.06,617.2,2025,3.3,-3.2,,
,6:59:49 pm,6,,X,37,-15,1.44,-0.57,0.23,-0.09,0.07,-0.03,624.1,2048,3.8,-2.5,,
,7:00:04 pm,7,,10,42,-11,1.64,-0.44,0.26,-0.07,0.08,-0.02,615.7,2020,3.3,-2.7,,
,7:00:21 pm,8,,X,-10,-12,-0.39,-0.46,-0.06,-0.07,-0.02,-0.02,628.6,2062,4,-2.5,,
,7:00:38 pm,9,,9,-15,-107,-0.6,-4.2,-0.1,-0.67,-0.03,-0.19,630.8,2070,4,-2.4,,
,7:00:56 pm,10,,10,-32,-30,-1.24,-1.17,-0.2,-0.19,-0.06,-0.05,625.9,2053,4.1,-2.6,,
,7:01:15 pm,11,,X,-5,25,-0.2,0.96,-0.03,0.15,-0.01,0.04,634.6,2082,4.5,-2.4,,
,7:01:33 pm,12,,9,36,-90,1.43,-3.54,0.23,-0.56,0.07,-0.16,623.2,2045,3.2,-3,,
