ShotMarker Archived Data (generated Jan 18 2025)
Exported 51 strings from Jan 18 of 168 total in archive

Jan 18 2025,Ethan Blackwell open,18,600y,197-9X

,time,id,tags,score,x (mm),y (mm),x (inch),y (inch),x (moa),y (moa),x (mil),y (mil),v (m/s),v (fps),yaw (deg), pitch (deg),quality
,9:18:35 am,S1,sighter,X,23,-12,0.89,-0.48,0.14,-0.08,0.04,-0.02,661.8,2171,1.5,-2.5,,
,9:19:04 am,1,,10,-60,-20,-2.37,-0.77,-0.38,-0.12,-0.11,-0.04,652,2139,1.4,-2,,
,9:19:47 am,2,,10,41,-35,1.61,-1.37,0.26,-0.22,0.07,-0.06,655.6,2151,1.4,-2.7,,
,9:20:27 am,3,,X,-17,17,-0.65,0.67,-0.1,0.11,-0.03,0.03,656.1,2153,1.3,-2.2,,
,9:20:46 am,4,,10,63,-10,2.46,-0.41,0.39,-0.07,0.11,-0.02,660.3,2166,1.6,-2.3,,
,9:21:05 am,5,,X,40,-4,1.57,-0.18,0.25,-0.03,0.07,-0.01,658.2,2159,1.5,-2.4,,
,9:22:11 am,6,,9,71,-44,2.78,-1.74,0.44,-0.28,0.13,-0.08,657.9,2158,1.7,-2.5,,
,9:22:35 am,7,,X,16,35,0.61,1.37,0.1,0.22,0.03,0.06,655.6,2151,1.1,-2.2,,
,9:24:31 am,8,,10,35,47,1.38,1.86,0.22,0.3,0.06,0.09,663.2,2176,1.5,-2.3,,
,9:24:47 am,9,,X,-34,0,-1.34,0,-0.21,0,-0.06,0,655.6,2151,1.3,-2.1,,
,9:25:04 am,10,,10,-29,-45,-1.14,-1.78,-0.18,-0.28,-0.05,-0.08,654.9,2149,1.6,-2.3,,
,9:25:28 am,11,,X,5,0,0.18,-0.01,0.03,0,0.01,0,653.3,2143,2,-1.5,,
,9:25:49 am,12,,X,1,-11,0.02,-0.45,0,-0.07,0,-0.02,657,2156,1.6,-2.2,,
,9:26:06 am,13,,9,93,-24,3.65,-0.95,0.58,-0.15,0.17,-0.04,661.2,2169,1.6,-2.5,,
,9:26:58 am,14,,10,49,-23,1.91,-0.92,0.3,-0.15,0.09,-0.04,656.9,2155,1.5,-2.6,,
,9:27:29 am,15,,X,-30,-14,-1.19,-0.56,-0.19,-0.09,-0.05,-0.03,654.1,2146,1.9,-2.4,,
,9:27:45 am,16,,9,-85,33,-3.35,1.28,-0.53,0.2,-0.16,0.06,649,2129,1.6,-1.8,,
,9:28:02 am,17,,10,-7,-64,-0.28,-2.51,-0.04,-0.4,-0.01,-0.12,653.9,2145,1.4,-2.3,,
,9:28:17 am,18,,X,-28,-8,-1.1,-0.33,-0.17,-0.05,-0.05,-0.02,655.4,2150,1.6,-2.2,,
,9:29:19 am,19,,X,-6,3,-0.24,0.1,-0.04,0.02,-0.01,0,656.6,2154,1.6,-2.2,,
,9:29:43 am,20,,10,-19,-69,-0.76,-2.7,-0.12,-0.43,-0.03,-0.13,660.4,2167,1.7,-2.6,,

,,,,avg:,5,-12,0.19,-0.47,0.03,-0.07,0.01,-0.02,656.4,2153.4,1.5,-2.3,0.2,
,,,,SD:,44.4,30,1.75,1.18,0.28,0.19,0.08,0.05,3.22,10.6,0.21,0.26,0.1,

Jan 18 2025,lou oneal ftr 2,13,600y,197-9X

,time,id,tags,score,x (mm),y (mm),x (inch),y (inch),x (moa),y (moa),x (mil),y (mil),v (m/s),v (fps),yaw (deg), pitch (deg),quality
,9:19:54 am,1,,X,-36,-6,-1.41,-0.25,-0.22,-0.04,-0.07,-0.01,526.4,1727,1.7,-2.1,,
,9:20:08 am,2,,X,5,24,0.2,0.94,0.03,0.15,0.01,0.04,537,1762,2.2,-2.4,,
,9:20:26 am,3,,X,23,-8,0.9,-0.33,0.14,-0.05,0.04,-0.02,534,1752,2.6,-1.5,,
,9:20:38 am,4,,10,-24,45,-0.93,1.78,-0.15,0.28,-0.04,0.08,534.9,1755,3,-1.8,,
,9:20:55 am,5,,10,5,-43,0.2,-1.69,0.03,-0.27,0.01,-0.08,533.4,1750,2.2,-2.1,,
,9:21:13 am,6,,X,-25,15,-0.98,0.59,-0.16,0.09,-0.05,0.03,535.4,1757,2.3,-1.8,,
,9:21:26 am,7,,10,-44,31,-1.74,1.22,-0.28,0.19,-0.08,0.06,539.5,1770,2.8,-1.9,,
,9:21:38 am,8,,10,-9,-74,-0.35,-2.92,-0.06,-0.46,-0.02,-0.14,530.4,1740,1.9,-2.1,,
,9:21:53 am,9,,X,34,24,1.32,0.94,0.21,0.15,0.06,0.04,529.4,1737,2.4,-2.1,,
,9:22:06 am,10,,10,-48,29,-1.89,1.15,-0.3,0.18,-0.09,0.05,539.7,1771,2.7,-1.7,,
,9:22:18 am,11,,9,10,-100,0.41,-3.92,0.07,-0.62,0.02,-0.18,527.9,1732,1.3,-2.2,,
,9:23:06 am,12,,10,-43,36,-1.69,1.42,-0.27,0.23,-0.08,0.07,537.5,1763,2.7,-1.7,,
,9:23:58 am,13,,9,-79,-38,-3.09,-1.48,-0.49,-0.24,-0.14,-0.07,541.4,1776,1.2,-2.3,,
,9:24:24 am,14,,X,1,-38,0.03,-1.5,0,-0.24,0,-0.07,533.9,1752,2,-2,,
,9:24:42 am,15,,X,17,-7,0.65,-0.3,0.1,-0.05,0.03,-0.01,532.6,1747,1.5,-2.3,,
,9:24:59 am,16,,10,-17,-56,-0.66,-2.21,-0.1,-0.35,-0.03,-0.1,526.6,1728,1.5,-2.2,,
,9:25:33 am,17,,9,-20,-79,-0.79,-3.11,-0.13,-0.49,-0.04,-0.14,533.6,1751,2.6,-2.1,,
,9:26:21 am,18,,X,37,-17,1.47,-0.69,0.23,-0.11,0.07,-0.03,528.4,1734,1.3,-2.7,,
,9:26:41 am,19,,X,-26,-6,-1.04,-0.22,-0.17,-0.04,-0.05,-0.01,532.5,1747,2.2,-2,,
,9:26:58 am,20,,10,42,-5,1.66,-0.21,0.26,-0.03,0.08,-0.01,529.6,1738,0.9,-2.5,,

,,,,avg:,-10,-14,-0.39,-0.54,-0.06,-0.09,-0.02,-0.02,533.2,1749.4,2,-2.1,0.3,
,,,,SD:,31.3,40.5,1.23,1.59,0.2,0.25,0.06,0.07,4.29,14.1,0.59,0.29,0.1,

Jan 18 2025,unnamed,5,600y,52-0X

,time,id,tags,score,x (mm),y (mm),x (inch),y (inch),x (moa),y (moa),x (mil),y (mil),v (m/s),v (fps),yaw (deg), pitch (deg),quality
,9:21:16 am,1,,9,76,-27,2.98,-1.08,0.47,-0.17,0.14,-0.05,422.5,1386,-2,-3.5,11.2,
,9:22:25 am,2,,9,49,-89,1.93,-3.52,0.31,-0.56,0.09,-0.16,423.4,1389,-1.7,-3.7,12,
