ShotMarker Archived Data (generated Jan 21 2025)
Exported 51 strings from Jan 21 of 220 total in archive

Jan 21 2025,Erika for fun,15,600y,193-7X

,time,id,tags,score,x (mm),y (mm),x (inch),y (inch),x (moa),y (moa),x (mil),y (mil),v (m/s),v (fps),yaw (deg), pitch (deg),quality
,6:47:34 pm,S1,sighter,6,113,-403,4.45,-15.86,0.71,-2.52,0.21,-0.73,479.9,1574,1.1,-2.9,9.9,
,6:48:44 pm,S2,sighter,9,80,-18,3.13,-0.73,0.5,-0.12,0.15,-0.03,491.6,1613,1.4,-2.5,5.6,
,6:49:49 pm,S3,sighter,9,24,92,0.94,3.61,0.15,0.57,0.04,0.17,488.8,1604,1.6,-2.3,1.7,
,6:50:47 pm,S4,sighter,9,46,-82,1.81,-3.22,0.29,-0.51,0.08,-0.15,493.9,1620,1.4,-2.5,5.1,
,6:51:42 pm,1,,9,133,45,5.22,1.78,0.83,0.28,0.24,0.08,493.1,1618,1.2,-2.4,7,
,6:52:15 pm,2,,9,83,24,3.27,0.93,0.52,0.15,0.15,0.04,486.2,1595,1.6,-2.5,3.9,
,6:53:34 pm,3,,10,37,-36,1.45,-1.41,0.23,-0.22,0.07,-0.07,485.9,1594,1.8,-2.5,2.9,
,6:54:16 pm,4,,9,73,-67,2.85,-2.66,0.45,-0.42,0.13,-0.12,480.9,1578,1.4,-2.5,4.2,
,6:54:56 pm,5,,X,16,12,0.65,0.48,0.1,0.08,0.03,0.02,484.1,1588,1.8,-2.4,2.9,
,6:55:31 pm,6,,X,-35,7,-1.37,0.29,-0.22,0.05,-0.06,0.01,483.6,1587,1.9,-2.4,0.8,
,6:56:07 pm,7,,9,-76,36,-3.01,1.43,-0.48,0.23,-0.14,0.07,484.7,1590,2,-2.4,2.1,
,6:57:04 pm,8,,X,5,31,0.19,1.2,0.03,0.19,0.01,0.06,481.2,1579,1.7,-2.4,1.2,
,6:57:36 pm,9,,10,26,-75,1.02,-2.94,0.16,-0.47,0.05,-0.14,473.6,1554,1.6,-2.5,3.5,
,6:58:03 pm,10,,10,45,30,1.75,1.18,0.28,0.19,0.08,0.05,481.2,1579,1.7,-2.5,2.2,
,6:58:50 pm,11,,X,28,26,1.08,1.03,0.17,0.16,0.05,0.05,479.4,1573,1.6,-2.4,2.7,
,6:59:23 pm,12,,X,-12,8,-0.47,0.31,-0.07,0.05,-0.02,0.01,485,1591,1.9,-2.4,2.4,
,7:00:03 pm,13,,10,-29,-55,-1.15,-2.18,-0.18,-0.35,-0.05,-0.1,476.1,1562,1.8,-2.4,2.7,
,7:00:47 pm,14,,9,-43,94,-1.68,3.7,-0.27,0.59,-0.08,0.17,480.1,1575,1.8,-2.3,0.9,
,7:01:49 pm,15,,9,34,76,1.34,2.98,0.21,0.47,0.06,0.14,487,1598,1.6,-2.4,2.7,
,7:02:17 pm,16,,9,67,-49,2.65,-1.95,0.42,-0.31,0.12,-0.09,479.1,1572,1.4,-2.4,5.8,
,7:02:43 pm,17,,X,-37,-10,-1.45,-0.39,-0.23,-0.06,-0.07,-0.02,479.1,1572,2,-2.4,0.7,
,7:03:19 pm,18,,X,1,-8,0.05,-0.31,0.01,-0.05,0,-0.01,483.9,1588,1.6,-2.4,2.5,
,7:03:54 pm,19,,10,-16,-70,-0.63,-2.75,-0.1,-0.44,-0.03,-0.13,477.1,1565,1.8,-2.4,2.9,
,7:04:26 pm,20,,10,45,-4,1.76,-0.16,0.28,-0.03,0.08,-0.01,489,1604,1.5,-2.5,4.2,

,,,,avg:,17,1,0.68,0.03,0.11,0,0.03,0,482.5,1583.1,1.7,-2.4,2.9,
,,,,SD:,49,46.5,1.93,1.83,0.31,0.29,0.09,0.08,4.53,14.9,0.21,0.05,1.5,

Jan 21 2025,Ethan Blackwell open,18,600y,200-18X

,time,id,tags,score,x (mm),y (mm),x (inch),y (inch),x (moa),y (moa),x (mil),y (mil),v (m/s),v (fps),yaw (deg), pitch (deg),quality
,6:46:23 pm,S1,sighter,X,-11,-41,-0.42,-1.6,-0.07,-0.25,-0.02,-0.07,649.6,2131,1.1,-2.1,,
,6:46:44 pm,S2,sighter,10,13,59,0.52,2.31,0.08,0.37,0.02,0.11,651.7,2138,1.1,-1.9,,
,6:47:16 pm,S3,sighter,10,-32,65,-1.24,2.54,-0.2,0.4,-0.06,0.12,654.5,2147,1,-1.9,,
,6:47:40 pm,S4,sighter,10,20,75,0.78,2.97,0.12,0.47,0.04,0.14,655.4,2150,1,-2,,
,6:49:29 pm,S5,sighter,X,-4,-3,-0.17,-0.11,-0.03,-0.02,-0.01,-0.01,658.7,2161,1,-1.9,,
,6:50:01 pm,S6,sighter,10,0,51,0,2.01,0,0.32,0,0.09,659.8,2165,0.9,-1.9,,
,6:50:36 pm,S7,sighter,9,-16,89,-0.65,3.5,-0.1,0.56,-0.03,0.16,657.7,2158,0.9,-1.9,,
,6:51:23 pm,S8,sighter,X,5,-15,0.2,-0.59,0.03,-0.09,0.01,-0.03,657.1,2156,0.9,-2,,
,6:52:05 pm,1,,X,-26,30,-1.02,1.17,-0.16,0.19,-0.05,0.05,658.1,2159,1,-1.9,,
,6:52:36 pm,2,,X,1,13,0.02,0.5,0,0.08,0,0.02,659.4,2163,1,-2.1,,
,6:53:04 pm,3,,X,-2,-17,-0.09,-0.65,-0.01,-0.1,0,-0.03,657.1,2156,1.1,-2.1,,
,6:53:47 pm,4,,X,-22,-31,-0.88,-1.22,-0.14,-0.19,-0.04,-0.06,654.9,2149,1,-2,,
,6:54:11 pm,5,,X,-24,-9,-0.94,-0.36,-0.15,-0.06,-0.04,-0.02,659.1,2162,1.1,-2.1,,
,6:54:40 pm,6,,X,10,-19,0.39,-0.74,0.06,-0.12,0.02,-0.03,658,2159,1,-2,,
,6:55:01 pm,7,,X,-7,9,-0.3,0.37,-0.05,0.06,-0.01,0.02,658,2159,1,-2,,
,6:55:28 pm,8,,X,19,12,0.75,0.48,0.12,0.08,0.03,0.02,658.3,2160,0.9,-2.1,,
,6:55:59 pm,9,,X,-5,-30,-0.19,-1.2,-0.03,-0.19,-0.01,-0.06,653.5,2144,1.1,-2,,
,6:57:18 pm,10,,X,-37,-14,-1.44,-0.54,-0.23,-0.09,-0.07,-0.02,656.3,2153,0.9,-2,,
,6:57:54 pm,11,,X,-16,18,-0.65,0.72,-0.1,0.11,-0.03,0.03,656,2152,1,-1.9,,
,6:58:28 pm,12,,X,10,-30,0.4,-1.2,0.06,-0.19,0.02,-0.06,656,2152,1,-2.1,,
,6:58:56 pm,13,,X,7,11,0.26,0.44,0.04,0.07,0.01,0.02,658.9,2162,0.9,-2,,
,6:59:36 pm,14,,X,32,13,1.24,0.52,0.2,0.08,0.06,0.02,657.8,2158,0.9,-2,,
,6:59:53 pm,15,,X,-33,14,-1.3,0.54,-0.21,0.09,-0.06,0.03,657.5,2157,1.1,-1.9,,
,7:00:18 pm,16,,X,-14,0,-0.57,0.01,-0.09,0,-0.03,0,655.7,2151,1,-1.9,,
,7:00:35 pm,17,,X,15,-30,0.59,-1.19,0.09,-0.19,0.03,-0.06,656.9,2155,1.1,-2,,
,7:00:58 pm,18,,10,29,61,1.14,2.39,0.18,0.38,0.05,0.11,656.1,2153,1,-2,,
,7:01:35 pm,19,,X,13,-10,0.5,-0.41,0.08,-0.07,0.02,-0.02,658.9,2162,1.1,-2,,
,7:03:18 pm,20,,10,57,10,2.23,0.39,0.35,0.06,0.1,0.02,659.5,2164,0.9,-2,,

,,,,avg:,0,0,0.01,0,0,0,0,0,657.3,2156.5,1,-2,0.2,
,,,,SD:,23.2,23,0.91,0.91,0.15,0.14,0.04,0.04,1.57,5.2,0.07,0.07,0.1,

Jan 21 2025,unnamed,10,600y,138-1X

,time,id,tags,score,x (mm),y (mm),x (inch),y (inch),x (moa),y (moa),x (mil),y (mil),v (m/s),v (fps),yaw (deg), pitch (deg),quality
,6:51:31 pm,1,,9,17,204,0.65,8.02,0.1,1.28,0.03,0.37,549.5,1803,1.1,-0.1,21.1,
,6:52:11 pm,2,,9,221,-65,8.71,-2.54,1.39,-0.4,0.4,-0.12,545.9,1791,1,-0.7,14.4,
,6:52:49 pm,3,,8,-230,-57,-9.07,-2.24,-1.44,-0.36,-0.42,-0.1,533.9,1752,2,-1.2,8.8,
,6:53:33 pm,4,,10,-66,75,-2.62,2.94,-0.42,0.47,-0.12,0.14,544.5,1786,1.2,-0.7,14.9,
,6:54:08 pm,5,,10,-77,97,-3.03,3.82,-0.48,0.61,-0.14,0.18,538.9,1768,1.5,-0.5,17.4,
,6:54:50 pm,6,,6,-517,253,-20.34,9.98,-3.24,1.59,-0.94,0.46,529.6,1738,2.8,-0.8,15.8,
,6:55:40 pm,7,,6,-456,263,-17.97,10.36,-2.86,1.65,-0.83,0.48,528.1,1733,2.5,-0.4,17.2,
,6:56:33 pm,8,,10,-101,52,-3.98,2.05,-0.63,0.33,-0.18,0.09,537.8,1764,1.3,-1,15.6,
,6:57:13 pm,9,,X,-57,37,-2.23,1.46,-0.35,0.23,-0.1,0.07,535.9,1758,1.2,-0.9,12.8,
,6:57:47 pm,10,,9,-178,105,-7.02,4.13,-1.12,0.66,-0.33,0.19,543.4,1783,1.7,-1,15.6,
,6:58:33 pm,11,,10,-113,50,-4.46,1.98,-0.71,0.32,-0.21,0.09,537.7,1764,1.4,-0.9,13.9,
,6:59:20 pm,12,,9,-100,204,-3.94,8.04,-0.63,1.28,-0.18,0.37,533,1749,1.2,-0.4,16.9,
,6:59:57 pm,13,,10,-85,5,-3.34,0.2,-0.53,0.03,-0.15,0.01,528.9,1735,1.4,-1.1,13.1,
,7:00:39 pm,14,,8,-275,-132,-10.84,-5.19,-1.73,-0.83,-0.5,-0.24,524.3,1720,2,-1.7,7.4,
,7:01:20 pm,15,,7,-333,-43,-13.13,-1.68,-2.09,-0.27,-0.61,-0.08,524.7,1721,2.1,-1.4,9.4,
,7:03:00 pm,16,,7,-293,229,-11.52,9.03,-1.83,1.44,-0.53,0.42,534.2,1753,1.6,-0.6,18.3,

,,,,avg:,-165,80,-6.51,3.15,-1.04,0.5,-0.3,0.15,535.6,1757.4,1.6,-0.8,14.5,
,,,,SD:,176.6,118.9,6.95,4.68,1.11,0.75,0.32,0.22,7.31,24,0.48,0.39,3.5,

Jan 21 2025,Claudia Wolf ftr,7,600y,195-5X

,time,id,tags,score,x (mm),y (mm),x (inch),y (inch),x (moa),y (moa),x (mil),y (mil),v (m/s),v (fps),yaw (deg), pitch (deg),quality
,6:46:23 pm,S1,sighter,9,-117,-64,-4.61,-2.52,-0.73,-0.4,-0.21,-0.12,466.3,1530,-1.3,-2.9,,
,6:47:42 pm,S2,sighter,X,-36,-20,-1.4,-0.81,-0.22,-0.13,-0.06,-0.04,468.2,1536,-2.4,-2.4,,
,6:48:13 pm,S3,sighter,8,-12,157,-0.47,6.2,-0.07,0.99,-0.02,0.29,481.9,1581,-2.8,-1.8,,
,6:48:49 pm,S4,sighter,9,-31,120,-1.21,4.7,-0.19,0.75,-0.06,0.22,475.6,1560,-2.8,-2.1,,
,6:49:42 pm,S5,sighter,X,-22,2,-0.89,0.09,-0.14,0.01,-0.04,0,471.6,1547,-2.1,-2.6,,
,6:50:42 pm,1,,10,0,78,0.01,3.07,0,0.49,0,0.14,478.8,1571,-3,-2,,
,6:51:18 pm,2,,10,-40,14,-1.56,0.56,-0.25,0.09,-0.07,0.03,476.4,1563,-2.5,-2.4,,
,6:51:52 pm,3,,10,12,72,0.47,2.82,0.07,0.45,0.02,0.13,479.6,1573,-2.8,-2.2,,
,6:52:31 pm,4,,X,-6,20,-0.22,0.77,-0.04,0.12,-0.01,0.04,475,1558,-2.6,-2.3,,
,6:53:00 pm,5,,10,-36,-44,-1.43,-1.72,-0.23,-0.27,-0.07,-0.08,471.1,1546,-2.4,-2.6,,
,6:53:30 pm,6,,X,-26,13,-1.03,0.5,-0.16,0.08,-0.05,0.02,471,1545,-2.2,-2.7,,
,6:53:59 pm,7,,9,24,-82,0.93,-3.22,0.15,-0.51,0.04,-0.15,468.9,1538,-2.1,-2.7,,
,6:54:33 pm,8,,X,27,21,1.07,0.84,0.17,0.13,0.05,0.04,474.7,1557,-3.5,-2,,
,6:54:59 pm,9,,9,65,-86,2.57,-3.37,0.41,-0.54,0.12,-0.16,466.2,1530,-3.1,-2.5,,
,6:55:39 pm,10,,10,22,-64,0.85,-2.54,0.13,-0.4,0.04,-0.12,471,1545,-2.2,-2.7,,
,6:56:11 pm,11,,10,19,51,0.76,2,0.12,0.32,0.04,0.09,473.5,1553,-2.6,-2.3,,
,6:56:44 pm,12,,9,-19,-96,-0.75,-3.8,-0.12,-0.6,-0.03,-0.18,467.2,1533,-1.9,-2.9,,
,6:57:14 pm,13,,10,72,-16,2.82,-0.65,0.45,-0.1,0.13,-0.03,471,1545,-3.2,-2.2,,
,6:57:48 pm,14,,10,61,-51,2.42,-2.02,0.38,-0.32,0.11,-0.09,465,1526,-2.7,-2.4,,
,6:58:21 pm,15,,9,37,87,1.44,3.41,0.23,0.54,0.07,0.16,472.9,1552,-2.9,-2.1,,
,6:59:36 pm,16,,X,-12,-32,-0.46,-1.28,-0.07,-0.2,-0.02,-0.06,466.2,1530,-1.9,-2.8,,
,7:00:18 pm,17,,9,-82,85,-3.24,3.36,-0.52,0.54,-0.15,0.16,473.4,1553,-1.2,-2.8,,
,7:00:52 pm,18,,10,-45,-27,-1.76,-1.06,-0.28,-0.17,-0.08,-0.05,472.6,1551,-1.5,-2.8,,
,7:01:21 pm,19,,10,-44,53,-1.74,2.07,-0.28,0.33,-0.08,0.1,480.8,1577,-2.4,-2.5,,
,7:01:54 pm,20,,X,-21,28,-0.83,1.11,-0.13,0.18,-0.04,0.05,475.8,1561,-2.1,-2.6,,

,,,,avg:,0,1,0.02,0.04,0,0.01,0,0,472.6,1550.4,-2.4,-2.5,0.4,
,,,,SD:,40,58,1.58,2.28,0.25,0.36,0.07,0.11,4.38,14.4,0.56,0.27,0.2,

Jan 21 2025,Ethan Blackwood F Open,12,600y,200-17X

,time,id,tags,score,x (mm),y (mm),x (inch),y (inch),x (moa),y (moa),x (mil),y (mil),v (m/s),v (fps),yaw (deg), pitch (deg),quality
,6:46:47 pm,S1,sighter,X,-6,-37,-0.22,-1.47,-0.04,-0.23,-0.01,-0.07,578.6,1898,2,-3,4,
,6:47:33 pm,S2,sighter,X,-5,12,-0.2,0.46,-0.03,0.07,-0.01,0.02,593.6,1948,2.2,-3,2.7,
,6:48:17 pm,S3,sighter,10,13,50,0.51,1.96,0.08,0.31,0.02,0.09,593.6,1948,1.7,-2.9,4.6,
