ShotMarker Archived Data (generated Jan 14 2025)
Exported 61 strings from Jan 14 of 117 total in archive

Jan 14 2025,Ethan Blackwell open,16,600y,198-11X

,time,id,tags,score,x (mm),y (mm),x (inch),y (inch),x (moa),y (moa),x (mil),y (mil),v (m/s),v (fps),yaw (deg), pitch (deg),quality
,7:00:52 pm,1,,X,26,0,1.04,-0.02,0.16,0,0.05,0,642.8,2109,-0.8,-3.6,6.5,
,7:01:11 pm,2,,X,1,-7,0.02,-0.28,0,-0.04,0,-0.01,640.1,2100,-1,-3.5,8.7,
,7:01:35 pm,3,,X,-7,29,-0.28,1.16,-0.04,0.18,-0.01,0.05,639.6,2098,-0.9,-3.4,10.8,
,7:01:57 pm,4,,10,28,-42,1.11,-1.67,0.18,-0.27,0.05,-0.08,646.3,2120,-0.7,-3.7,8.2,
,7:02:19 pm,5,,10,48,-54,1.89,-2.11,0.3,-0.34,0.09,-0.1,643,2110,-1.2,-3.7,5.9,
,7:02:50 pm,6,,10,79,-3,3.11,-0.1,0.5,-0.02,0.14,0,641.7,2105,-1.3,-3.4,8.5,
,7:04:43 pm,7,,X,-6,33,-0.22,1.3,-0.04,0.21,-0.01,0.06,642.4,2108,-1.1,-3.4,7.8,
,7:05:09 pm,8,,10,-59,-6,-2.34,-0.26,-0.37,-0.04,-0.11,-0.01,641.8,2106,-1.1,-3.5,6.8,
,7:05:26 pm,9,,X,-1,-33,-0.04,-1.32,-0.01,-0.21,0,-0.06,640.9,2103,-1.1,-3.5,7,
,7:05:44 pm,10,,10,63,-40,2.46,-1.56,0.39,-0.25,0.11,-0.07,638.1,2094,-1.2,-3.5,8.6,
,7:06:01 pm,11,,X,36,-14,1.43,-0.56,0.23,-0.09,0.07,-0.03,638.6,2095,-1,-3.3,8.4,
,7:06:26 pm,12,,X,-14,16,-0.55,0.63,-0.09,0.1,-0.03,0.03,641.5,2105,-1.3,-3.2,8.8,
,7:06:41 pm,13,,X,-26,-11,-1.04,-0.42,-0.17,-0.07,-0.05,-0.02,639.4,2098,-1.1,-3.5,7.3,
,7:07:05 pm,14,,X,34,-18,1.33,-0.69,0.21,-0.11,0.06,-0.03,637.6,2092,-1.2,-3.4,9.2,
,7:07:23 pm,15,,X,32,-9,1.26,-0.34,0.2,-0.05,0.06,-0.02,641.1,2103,-1.1,-3.5,9.1,
,7:08:06 pm,16,,9,81,-95,3.2,-3.74,0.51,-0.6,0.15,-0.17,639.8,2099,-1,-3.4,7.9,
,7:08:24 pm,17,,10,57,-8,2.23,-0.33,0.35,-0.05,0.1,-0.02,641.3,2104,-1.2,-3.4,9.5,
,7:08:38 pm,18,,10,42,26,1.65,1.02,0.26,0.16,0.08,0.05,637.9,2093,-1.1,-3.4,8.8,
,7:08:53 pm,19,,X,12,-26,0.48,-1.02,0.08,-0.16,0.02,-0.05,638.9,2096,-1.1,-3.4,7.2,
,7:09:16 pm,20,,9,99,14,3.89,0.56,0.62,0.09,0.18,0.03,637.5,2092,-1.2,-3.5,9.4,

,,,,avg:,26,-12,1.03,-0.49,0.16,-0.08,0.05,-0.02,640.5,2101.4,-1.1,-3.5,8.2,
,,,,SD:,38.5,30,1.52,1.18,0.24,0.19,0.07,0.05,2.15,7.1,0.15,0.1,1.2,

Jan 14 2025,Marcus Holloway,4,600y,198-12X

,time,id,tags,score,x (mm),y (mm),x (inch),y (inch),x (moa),y (moa),x (mil),y (mil),v (m/s),v (fps),yaw (deg), pitch (deg),quality
,6:50:07 pm,S1,sighter,10,-30,-30,-1.19,-1.2,-0.19,-0.19,-0.06,-0.06,664,2178,-3.2,-2.3,,
,6:50:30 pm,S2,sighter,10,-60,-32,-2.35,-1.26,-0.37,-0.2,-0.11,-0.06,678.9,2227,-3.9,-2.3,,
,6:50:51 pm,S3,sighter,10,2,-51,0.07,-2,0.01,-0.32,0,-0.09,665.3,2183,-3.3,-2.5,,
,6:51:22 pm,S4,sighter,X,-16,14,-0.62,0.54,-0.1,0.09,-0.03,0.02,669.4,2196,-3.8,-2.1,,
,6:51:49 pm,1,,X,-5,5,-0.2,0.21,-0.03,0.03,-0.01,0.01,664.7,2181,-3,-2.5,,
,6:52:11 pm,2,,X,29,-26,1.15,-1.01,0.18,-0.16,0.05,-0.05,669.6,2197,-3.4,-2.5,,
,6:52:39 pm,3,,10,-30,-41,-1.17,-1.61,-0.19,-0.26,-0.05,-0.07,664.9,2181,-2.7,-2.6,,
,6:52:59 pm,4,,10,20,-37,0.79,-1.46,0.13,-0.23,0.04,-0.07,666.6,2187,-3.4,-2.3,,
,6:53:27 pm,5,,X,11,-22,0.42,-0.87,0.07,-0.14,0.02,-0.04,664.8,2181,-3.2,-2.5,,
,6:53:54 pm,6,,X,9,13,0.37,0.5,0.06,0.08,0.02,0.02,671,2201,-4,-2,,
,6:54:15 pm,7,,10,-51,3,-2.01,0.1,-0.32,0.02,-0.09,0,669.9,2198,-2.6,-2.5,,
,6:54:34 pm,8,,9,-15,-85,-0.6,-3.33,-0.1,-0.53,-0.03,-0.15,664.4,2180,-2.4,-3,,
,6:54:54 pm,9,,X,-3,-17,-0.11,-0.66,-0.02,-0.11,-0.01,-0.03,662.2,2173,-2.8,-2.7,,
,6:55:17 pm,10,,X,-5,16,-0.19,0.63,-0.03,0.1,-0.01,0.03,674,2211,-3.5,-2.3,,
,6:55:40 pm,11,,X,20,-15,0.8,-0.58,0.13,-0.09,0.04,-0.03,670.6,2200,-3.4,-2.3,,
,6:56:05 pm,12,,X,-2,18,-0.07,0.71,-0.01,0.11,0,0.03,675.1,2215,-2.9,-2.3,,
,6:56:29 pm,13,,X,16,-3,0.63,-0.13,0.1,-0.02,0.03,-0.01,678.7,2227,-3.5,-2.2,,
,6:56:54 pm,14,,9,19,-90,0.74,-3.55,0.12,-0.56,0.03,-0.16,666.3,2186,-2.8,-2.8,,
,6:57:13 pm,15,,10,36,37,1.43,1.46,0.23,0.23,0.07,0.07,671.1,2202,-4.1,-2.2,,
,6:57:36 pm,16,,10,30,-37,1.16,-1.46,0.18,-0.23,0.05,-0.07,663.5,2177,-2.9,-2.7,,
,6:58:00 pm,17,,X,18,-11,0.7,-0.42,0.11,-0.07,0.03,-0.02,667.3,2189,-3.2,-2.5,,
,6:58:34 pm,18,,10,15,41,0.58,1.63,0.09,0.26,0.03,0.08,669.9,2198,-3.2,-2.3,,
,6:58:56 pm,19,,X,20,-33,0.8,-1.31,0.13,-0.21,0.04,-0.06,667.7,2191,-3.8,-2.4,,
,6:59:15 pm,20,,X,13,30,0.52,1.16,0.08,0.18,0.02,0.05,674.7,2214,-3.6,-2.2,,

,,,,avg:,7,-13,0.29,-0.5,0.05,-0.08,0.01,-0.02,668.9,2194.4,-3.2,-2.4,0.4,
,,,,SD:,20.6,34.7,0.81,1.37,0.13,0.22,0.04,0.06,4.3,14.1,0.44,0.23,0.1,

Jan 14 2025,Angelo Burgess - Open,15,600y,199-7X

,time,id,tags,score,x (mm),y (mm),x (inch),y (inch),x (moa),y (moa),x (mil),y (mil),v (m/s),v (fps),yaw (deg), pitch (deg),quality
,6:49:26 pm,S1,sighter,8,44,158,1.75,6.2,0.28,0.99,0.08,0.29,580.4,1904,1.5,-2.2,1.3,
,6:50:00 pm,S2,sighter,9,-1,90,-0.06,3.55,-0.01,0.57,0,0.16,582.1,1910,1.8,-2.4,2.6,
,6:51:16 pm,S3,sighter,9,58,128,2.29,5.05,0.36,0.8,0.11,0.23,584.1,1916,1.4,-2.2,2.9,
,6:52:27 pm,S4,sighter,10,37,37,1.44,1.46,0.23,0.23,0.07,0.07,583.8,1915,1.7,-2.2,4,
,6:53:01 pm,S5,sighter,X,34,18,1.35,0.7,0.21,0.11,0.06,0.03,581.9,1909,1.5,-2.3,3.5,
,6:53:55 pm,S6,sighter,X,3,39,0.1,1.54,0.02,0.24,0,0.07,583.1,1913,1.8,-2.2,2.6,
,6:54:45 pm,1,,X,8,-19,0.31,-0.74,0.05,-0.12,0.01,-0.03,584.9,1919,1.7,-2.2,2.2,
,6:55:20 pm,2,,X,-5,20,-0.19,0.78,-0.03,0.12,-0.01,0.04,583.9,1916,1.6,-2.3,2.1,
,6:55:51 pm,3,,10,50,-58,1.95,-2.3,0.31,-0.37,0.09,-0.11,586.9,1926,1.8,-2.4,2.9,
,6:56:27 pm,4,,9,99,29,3.89,1.15,0.62,0.18,0.18,0.05,587.1,1926,1.5,-2.2,5.7,
,6:57:03 pm,5,,10,39,-20,1.52,-0.78,0.24,-0.12,0.07,-0.04,588.6,1931,1.8,-2.3,2.5,
,6:57:21 pm,6,,10,25,-71,0.98,-2.8,0.16,-0.45,0.05,-0.13,585.9,1922,1.6,-2.3,3.8,
,6:58:00 pm,7,,10,46,-6,1.83,-0.26,0.29,-0.04,0.08,-0.01,583,1913,1.6,-2.3,3,
,6:58:39 pm,8,,10,9,-67,0.33,-2.65,0.05,-0.42,0.02,-0.12,582,1909,1.5,-2.3,4.6,
,6:59:13 pm,9,,10,50,-51,1.98,-2.01,0.31,-0.32,0.09,-0.09,581.8,1909,1.6,-2.5,4.7,
,6:59:45 pm,10,,10,53,-27,2.07,-1.08,0.33,-0.17,0.1,-0.05,583.4,1914,1.6,-2.3,4.2,
,7:00:14 pm,11,,10,-5,43,-0.19,1.7,-0.03,0.27,-0.01,0.08,588.7,1931,1.9,-2.2,0.7,
,7:00:47 pm,12,,10,-18,47,-0.72,1.84,-0.11,0.29,-0.03,0.09,585.9,1922,2,-2.2,0.8,
,7:02:12 pm,13,,X,-41,2,-1.61,0.09,-0.26,0.01,-0.07,0,584.9,1919,1.9,-2.2,2.2,
,7:02:38 pm,14,,X,-16,-2,-0.63,-0.07,-0.1,-0.01,-0.03,0,583.9,1916,1.7,-2.5,0.8,
,7:03:01 pm,15,,X,-34,-8,-1.35,-0.32,-0.21,-0.05,-0.06,-0.01,581.5,1908,1.9,-2.4,0.6,
,7:03:34 pm,16,,10,-2,-48,-0.09,-1.88,-0.01,-0.3,0,-0.09,582.7,1912,1.4,-2.4,3.5,
,7:04:02 pm,17,,10,20,40,0.77,1.56,0.12,0.25,0.04,0.07,583.2,1913,1.5,-2.3,1.6,
,7:04:24 pm,18,,10,-3,-61,-0.13,-2.41,-0.02,-0.38,-0.01,-0.11,584.6,1918,1.7,-2.3,2.6,
,7:05:00 pm,19,,X,-11,-6,-0.43,-0.23,-0.07,-0.04,-0.02,-0.01,580.9,1906,1.7,-2.4,1.5,
,7:05:31 pm,20,,X,-2,-14,-0.09,-0.55,-0.01,-0.09,0,-0.03,580.4,1904,1.9,-2.3,2.2,

,,,,avg:,13,-14,0.51,-0.55,0.08,-0.09,0.02,-0.03,584.2,1916.7,1.7,-2.3,2.6,
,,,,SD:,33.6,36.4,1.32,1.43,0.21,0.23,0.06,0.07,2.36,7.7,0.17,0.08,1.4,

Jan 14 2025,WALTON RUSH OPEN,7,600y,200-13X

,time,id,tags,score,x (mm),y (mm),x (inch),y (inch),x (moa),y (moa),x (mil),y (mil),v (m/s),v (fps),yaw (deg), pitch (deg),quality
,6:48:16 pm,S1,sighter,8,-53,-165,-2.09,-6.5,-0.33,-1.03,-0.1,-0.3,589.3,1933,-2,-2.9,,
,6:48:44 pm,S2,sighter,10,-71,18,-2.8,0.7,-0.45,0.11,-0.13,0.03,611.3,2006,-2.3,-2.4,,
,6:49:22 pm,S3,sighter,X,-33,-6,-1.3,-0.25,-0.21,-0.04,-0.06,-0.01,609.6,2000,-2.2,-2.5,,
,6:49:51 pm,S4,sighter,X,-5,-13,-0.2,-0.53,-0.03,-0.08,-0.01,-0.02,610.2,2002,-2.8,-2.2,,
,6:50:20 pm,S5,sighter,X,-18,-18,-0.72,-0.73,-0.11,-0.12,-0.03,-0.03,606.1,1989,-2.8,-2.3,,
,6:50:58 pm,S6,sighter,X,-21,-28,-0.83,-1.11,-0.13,-0.18,-0.04,-0.05,609.7,2000,-2.8,-2.3,,
,6:51:32 pm,S7,sighter,X,-5,-13,-0.21,-0.52,-0.03,-0.08,-0.01,-0.02,605,1985,-2.7,-2.3,,
,6:52:21 pm,1,,X,-33,3,-1.3,0.12,-0.21,0.02,-0.06,0.01,609,1998,-2.6,-2.2,,
,6:52:47 pm,2,,10,-22,53,-0.89,2.07,-0.14,0.33,-0.04,0.1,612.5,2010,-2.7,-2.1,,
,6:53:36 pm,3,,X,-12,19,-0.47,0.76,-0.07,0.12,-0.02,0.03,607.2,1992,-2.8,-2.4,,
,6:54:05 pm,4,,X,-31,15,-1.24,0.59,-0.2,0.09,-0.06,0.03,605,1985,-2.5,-2.3,,
,6:54:35 pm,5,,X,10,17,0.39,0.68,0.06,0.11,0.02,0.03,607.7,1994,-3.3,-2,,
,6:55:00 pm,6,,10,-7,62,-0.27,2.43,-0.04,0.39,-0.01,0.11,613.2,2012,-3.5,-1.8,,
,6:55:32 pm,7,,X,16,-20,0.64,-0.79,0.1,-0.13,0.03,-0.04,604.5,1983,-2.8,-2.4,,
,6:55:59 pm,8,,X,-6,-7,-0.23,-0.27,-0.04,-0.04,-0.01,-0.01,606,1988,-2.8,-2.3,,
,6:56:25 pm,9,,X,-5,-17,-0.19,-0.65,-0.03,-0.1,-0.01,-0.03,609.4,1999,-2.3,-2.5,,
,6:57:08 pm,10,,X,5,-6,0.19,-0.24,0.03,-0.04,0.01,-0.01,606.1,1989,-2.8,-2.3,,
,6:57:33 pm,11,,10,41,-9,1.62,-0.34,0.26,-0.05,0.08,-0.02,606.8,1991,-3.1,-2.2,,
,6:58:27 pm,12,,10,18,43,0.7,1.7,0.11,0.27,0.03,0.08,611.4,2006,-2.9,-2.1,,
,6:59:01 pm,13,,10,20,-41,0.8,-1.61,0.13,-0.26,0.04,-0.07,607.4,1993,-3.4,-2.3,,
,6:59:29 pm,14,,10,14,-47,0.57,-1.85,0.09,-0.3,0.03,-0.09,607.7,1994,-2.7,-2.4,,
,7:00:07 pm,15,,X,1,12,0.05,0.47,0.01,0.07,0,0.02,607.7,1994,-2.8,-2.3,,
,7:00:30 pm,16,,X,22,6,0.87,0.22,0.14,0.03,0.04,0.01,607.3,1992,-2.9,-2.3,,
,7:00:54 pm,17,,X,-1,-22,-0.03,-0.87,-0.01,-0.14,0,-0.04,607.3,1992,-3.6,-2.3,,
,7:01:23 pm,18,,10,13,63,0.5,2.48,0.08,0.4,0.02,0.12,610.6,2003,-3.1,-2.1,,
,7:03:16 pm,19,,X,2,-7,0.09,-0.26,0.01,-0.04,0,-0.01,614.9,2017,-2.7,-2.2,,
,7:03:48 pm,20,,X,33,-21,1.31,-0.81,0.21,-0.13,0.06,-0.04,612.6,2010,-3.4,-2.1,,

,,,,avg:,4,5,0.16,0.19,0.02,0.03,0.01,0.01,608.7,1997.1,-2.9,-2.2,0.4,
,,,,SD:,19.1,30.6,0.75,1.2,0.12,0.19,0.03,0.06,2.83,9.3,0.34,0.15,0.1,

Jan 14 2025,Pasquale Barker sling ,11,600y,194-5X

,time,id,tags,score,x (mm),y (mm),x (inch),y (inch),x (moa),y (moa),x (mil),y (mil),v (m/s),v (fps),yaw (deg), pitch (deg),quality
,6:49:05 pm,S1,sighter,10,85,101,3.33,3.97,0.53,0.63,0.15,0.18,586.4,1924,0.1,0.8,16.9,
,6:49:38 pm,S2,sighter,9,-158,-7,-6.21,-0.29,-0.99,-0.05,-0.29,-0.01,589.1,1933,0.5,0.7,15.9,
,6:50:08 pm,S3,sighter,10,-113,-25,-4.45,-0.97,-0.71,-0.15,-0.21,-0.05,579.4,1901,0.1,0.6,15.4,
,6:50:43 pm,1,,10,34,104,1.34,4.09,0.21,0.65,0.06,0.19,602.7,1977,-1.2,-0.7,,
,6:51:27 pm,2,,10,-73,-125,-2.86,-4.92,-0.45,-0.78,-0.13,-0.23,592.7,1945,-1.1,-1.2,,
,6:51:54 pm,3,,10,74,-75,2.93,-2.96,0.47,-0.47,0.14,-0.14,598.4,1963,-1.2,-1,,
,6:52:32 pm,4,,X,-10,-1,-0.39,-0.04,-0.06,-0.01,-0.02,0,595.3,1953,-0.9,-0.9,,
,6:52:59 pm,5,,10,88,-36,3.45,-1.43,0.55,-0.23,0.16,-0.07,592.1,1943,-1.2,-0.8,,
,6:53:30 pm,6,,X,-30,-6,-1.2,-0.25,-0.19,-0.04,-0.06,-0.01,591.4,1940,-0.6,-0.7,,
,6:54:00 pm,7,,9,138,-120,5.43,-4.72,0.86,-0.75,0.25,-0.22,597.8,1961,-1.1,-1.2,,
,6:54:24 pm,8,,10,-96,-26,-3.77,-1.04,-0.6,-0.17,-0.17,-0.05,592.8,1945,-0.6,-0.8,,
,6:54:56 pm,9,,X,-63,30,-2.5,1.19,-0.4,0.19,-0.12,0.06,595.4,1953,-0.8,-0.6,,
,6:55:24 pm,10,,9,212,55,8.34,2.16,1.33,0.34,0.39,0.1,588.2,1930,-1.3,-0.3,,
,6:55:59 pm,11,,10,17,-125,0.68,-4.93,0.11,-0.78,0.03,-0.23,583.9,1916,-0.9,-0.9,,
,6:56:37 pm,12,,9,154,60,6.07,2.35,0.97,0.37,0.28,0.11,595.6,1954,-1.1,-0.5,,
,6:57:06 pm,13,,X,-29,-16,-1.14,-0.65,-0.18,-0.1,-0.05,-0.03,602.1,1975,-1.1,-1,,
,6:57:36 pm,14,,10,84,-76,3.31,-2.98,0.53,-0.47,0.15,-0.14,594.8,1951,-1.2,-1,,
,6:58:06 pm,15,,9,133,93,5.22,3.67,0.83,0.58,0.24,0.17,581.9,1909,-0.2,0.8,13.8,
,6:58:38 pm,16,,X,72,-6,2.82,-0.23,0.45,-0.04,0.13,-0.01,582.6,1911,0.2,0.6,17.7,
,6:59:10 pm,17,,9,188,137,7.4,5.38,1.18,0.86,0.34,0.25,584.2,1917,-0.2,1,15.3,
,6:59:44 pm,18,,10,-128,0,-5.04,-0.02,-0.8,0,-0.23,0,581,1906,0.4,0.6,14.2,
,7:00:15 pm,19,,9,221,-63,8.69,-2.48,1.38,-0.4,0.4,-0.12,578.2,1897,-0.3,0.3,15.8,
,7:00:54 pm,20,,10,134,-44,5.27,-1.72,0.84,-0.27,0.24,-0.08,582,1909,0.1,0.4,16.2,

,,,,avg:,56,-12,2.2,-0.48,0.35,-0.08,0.1,-0.02,590.7,1937.8,-0.7,-0.4,4.8,
,,,,SD:,102,73.5,4.02,2.89,0.64,0.46,0.19,0.13,7.22,23.7,0.52,0.69,7,

Jan 14 2025,Ethan Blackwood F Open,5,600y,200-15X

,time,id,tags,score,x (mm),y (mm),x (inch),y (inch),x (moa),y (moa),x (mil),y (mil),v (m/s),v (fps),yaw (deg), pitch (deg),quality
,6:48:42 pm,S1,sighter,7,-88,-216,-3.45,-8.5,-0.55,-1.35,-0.16,-0.39,561.4,1842,0.2,-5.3,8.2,
,6:49:34 pm,S2,sighter,10,-47,-48,-1.85,-1.89,-0.29,-0.3,-0.09,-0.09,582.8,1912,-0.2,-5,6.8,
,6:50:32 pm,S3,sighter,10,-46,-59,-1.83,-2.31,-0.29,-0.37,-0.08,-0.11,585.1,1920,-0.3,-5.2,9.6,
,6:51:23 pm,S4,sighter,X,-10,-15,-0.4,-0.59,-0.06,-0.09,-0.02,-0.03,586.4,1924,-0.6,-5,10.4,
,6:52:27 pm,S5,sighter,X,11,22,0.44,0.88,0.07,0.14,0.02,0.04,589.4,1934,-0.3,-4.9,5.3,
,6:53:04 pm,1,,X,9,-23,0.35,-0.91,0.06,-0.15,0.02,-0.04,583.9,1916,-0.2,-5,9.1,
,6:53:28 pm,2,,X,-17,26,-0.69,1.02,-0.11,0.16,-0.03,0.05,590.3,1937,-0.5,-4.9,10.9,
,6:54:31 pm,3,,10,-21,40,-0.83,1.58,-0.13,0.25,-0.04,0.07,591,1939,0,-4.9,9.7,
,6:55:01 pm,4,,10,-22,-61,-0.87,-2.42,-0.14,-0.39,-0.04,-0.11,588.6,1931,-0.5,-5.2,11.5,
,6:55:32 pm,5,,X,0,-27,0.01,-1.07,0,-0.17,0,-0.05,588.2,1930,-0.1,-5,9.7,
,6:56:02 pm,6,,X,-17,-26,-0.67,-1.04,-0.11,-0.16,-0.03,-0.05,591.1,1939,0.1,-4.9,12.7,
,6:56:33 pm,7,,X,-11,9,-0.44,0.37,-0.07,0.06,-0.02,0.02,590,1936,-0.1,-5,11.4,
,6:56:55 pm,8,,X,5,33,0.19,1.31,0.03,0.21,0.01,0.06,588.6,1931,-0.2,-5,9.4,
,6:57:20 pm,9,,X,-2,-31,-0.08,-1.22,-0.01,-0.19,0,-0.06,590.7,1938,-0.2,-5,9.8,
,6:57:44 pm,10,,X,-27,-24,-1.05,-0.94,-0.17,-0.15,-0.05,-0.04,588.8,1932,-0.2,-5,10.6,
,6:58:09 pm,11,,X,-13,9,-0.5,0.34,-0.08,0.05,-0.02,0.02,590.2,1936,-0.2,-4.9,6.4,
,6:58:32 pm,12,,X,-27,10,-1.07,0.37,-0.17,0.06,-0.05,0.02,587.7,1928,-0.1,-5,8.9,
,6:58:55 pm,13,,X,-18,9,-0.73,0.36,-0.12,0.06,-0.03,0.02,584.6,1918,-0.3,-5,8.6,
,6:59:19 pm,14,,X,18,-11,0.71,-0.42,0.11,-0.07,0.03,-0.02,590,1936,-0.2,-4.9,10.1,
,6:59:46 pm,15,,10,-25,46,-1,1.82,-0.16,0.29,-0.05,0.08,591.7,1941,-0.1,-4.9,6.3,
,7:00:14 pm,16,,10,-17,41,-0.69,1.6,-0.11,0.26,-0.03,0.07,587.2,1927,-0.2,-5,9.7,
,7:00:43 pm,17,,10,-48,25,-1.89,0.98,-0.3,0.16,-0.09,0.05,591,1939,-0.2,-5.1,8.1,
,7:01:24 pm,18,,X,-20,-8,-0.8,-0.31,-0.13,-0.05,-0.04,-0.01,587.9,1929,-0.6,-5.1,7.4,
